"","amazement","solemnity","tenderness","nostalgia","calmness","power","joyful_activation","tension","sadness","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144"
"4",0.119047619048,0.142857142857,0.52380952381,0.452380952381,0.761904761905,0.0238095238095,0,0.0238095238095,0.142857142857,124.487156426,19.6823584448,-2.07778613423,-3.24986093279,-12.131976438,0.135001887718,-9.97288987983,-3.29318477775,-11.1495590964,-4.08666395616,-6.20067931593,3.99973737105,127.634337194,23.2936854021,-3.37269059545,-2.03893273785,-12.387481044,0.768669645745,-5.80667265643,-3.03205906112,-8.25687546165,-3.78514759738,-1.2184702338,5.24417324198,130.631996443,25.5773391784,-5.51446184468,-3.99332234209,-13.1053335391,-2.46903480298,-9.8293786005,-5.73650455612,-6.98583616314,-3.95487329511,3.89976500623,10.18530403,127.919796128,22.842821365,-6.26809616865,-5.12355971655,-14.1487269779,-3.59514813525,-12.9649663499,-8.88213418886,-8.33903972985,-2.52979355162,5.23586635494,11.3497522313,132.92253548,27.4043384933,-11.1426640442,-0.886728392401,-9.76206500891,-2.51667715831,-11.8642933823,-9.81154780013,-12.133256225,-15.4386048703,-3.83183720834,-4.91709871519,136.61678013,26.2728133116,-15.0845591436,0.846809460216,-13.8046779255,-4.02610997787,-7.8176858195,-9.85419614194,-8.60178740136,-6.17896665841,3.45657176129,8.82531013376,134.259174705,26.1002722287,-10.5720756038,-1.46609661106,-9.42084448828,-1.61373397475,-9.37152852432,-6.45881717145,-12.7629437839,-9.51974183383,-2.18817447885,2.65026286715,133.198628403,27.1236061993,-8.40806816142,-3.02349718491,-9.30954450245,0.0951584397497,-9.51457347963,-6.41688921491,-8.94124312838,-8.81245379928,-4.70644958532,-5.21671615723,127.412302257,23.6699788026,-2.96315231218,-2.77941712753,-10.1798717751,1.09840179103,-10.7157000263,-6.66894673307,-9.65075242876,-9.93503330341,-7.38521530013,1.79237057767,137.781380207,27.765531519,-13.3990989877,1.47049636252,-0.362781009011,1.43875328362,-10.4783543336,-3.69514800541,-3.87060325884,-9.88384454335,-5.95877226549,-3.62644111164,136.545332305,28.9679725199,-12.830817551,3.34049346794,-6.30421986313,-1.99886099478,-7.71046470918,-4.99655055584,-5.39039897656,-11.1125387058,-2.46763117966,-5.67894495725,123.948046388,21.2240902574,0.00474425539628,3.12646100837,-3.00454215745,7.47321863205,-8.51552263059,-1.96928773085,-4.55293155176,-7.37928356106,-7.72122002219,0.95708477042
"9",0.113636363636,0.272727272727,0.318181818182,0.409090909091,0.477272727273,0.0454545454545,0.0681818181818,0.0227272727273,0.363636363636,144.829520798,11.6368613932,-11.3554327028,12.8133892854,-22.5352818489,13.0979264844,-14.4314273824,11.6153561248,-16.1553729623,1.95131753701,-9.49825776135,-1.62276695349,146.044361104,12.4550489399,-9.88780258947,13.8781764657,-19.5870961104,14.7241220567,-16.5280519744,11.2075956102,-15.9645378679,5.41434954788,-6.83509630753,2.49415247236,148.036840896,12.3350559732,-13.3203116518,12.1657020718,-21.5814567928,11.3452634018,-25.6926389484,-0.349557668883,-20.6861310609,8.93614440254,1.2098389506,8.08126309426,145.551884115,12.6453490106,-9.07139649786,14.5459645821,-23.26506933,8.54241544516,-22.3743840627,6.40687837073,-14.6688915393,11.077661798,0.926226760895,4.05743028858,148.519773628,14.0973417455,-13.2072819289,9.62633790402,-23.9970949862,11.1639378337,-20.9174720884,4.00756290053,-20.1687654396,4.06391130758,-4.18403249558,2.04068081319,151.67586183,15.4962211841,-14.6624726208,13.0407157954,-17.8602108196,11.2783946357,-21.8160370101,7.88762650192,-15.8974202691,7.14463536161,0.173180133302,5.18153957864,154.210091526,15.2505956471,-16.2485406033,12.1860954448,-20.684518296,9.54349193435,-22.2761153289,14.2828647551,-7.84130305903,13.1284395451,0.759677535482,1.23606623597,153.973396074,13.8049949914,-17.6985322557,13.0633851443,-18.3068992826,11.7997564212,-20.832564126,11.1036403236,-15.8143143009,5.45672089,-6.2775784026,0.326613891724,152.038909737,12.8274954388,-20.7498295216,10.9172453764,-17.4595625141,9.9454969086,-20.5994393764,13.7567810366,-14.3015049258,1.79566210139,-5.57760910476,3.27724280043,149.032574965,14.2469689059,-15.5483875315,9.83304226877,-21.0533129705,8.97024622176,-22.8153619193,6.72460840034,-17.3644676963,2.59582653443,-4.26748716678,5.28624662782,154.549565793,18.2195479056,-13.2858813037,10.5494104944,-21.4001964728,7.18282060212,-22.4949593544,16.1212258169,-2.08096910608,19.7556853339,2.37497882485,3.31381882969,151.643964954,14.4619996976,-14.7186599723,12.9204410182,-18.9851963523,13.1798463396,-22.0056534984,7.69709948431,-13.7185693413,7.80420443316,-2.90341608427,6.13144820974
"11",0.0425531914894,0.297872340426,0.234042553191,0.382978723404,0.36170212766,0.0425531914894,0.063829787234,0.127659574468,0.382978723404,156.394308493,12.4934662075,-16.41826806,15.3681146791,-18.8025113412,15.957927258,-19.9225886966,11.5647723351,-14.8645508843,10.875931378,-9.15926496991,4.03534889923,158.312568758,11.9777249284,-18.1936603652,18.5508223903,-16.7345035265,16.9362399197,-17.2950582021,12.6522706563,-15.1416614912,10.9555917924,-10.9761496432,2.41508605599,157.89987867,11.6261421407,-19.3487869639,16.8471910295,-16.9671193697,17.0625977813,-18.2268152598,14.6167046361,-12.0308750091,7.38918177378,-15.0359140532,-0.868673791549,157.075579121,14.0647218057,-17.354068238,16.7502405785,-16.2750735852,16.4045307496,-17.2755143348,12.6277875271,-10.1343361453,12.7475511005,-8.06281247611,1.06923762706,159.067106886,14.7607270124,-17.3383581083,18.3567811533,-16.181126394,15.3028855173,-17.6383874298,14.5039307563,-10.0491582269,10.4485494081,-9.9252978514,1.34883236187,148.0300694,10.503257334,-15.4494766578,15.314766416,-16.0465989106,15.3720451356,-16.9514169733,15.5021129267,-10.6039901284,3.96792987289,-12.8104646454,1.95586001311,157.458526822,12.9542125827,-17.5517500126,14.6136585231,-17.8910191544,16.7019530632,-19.841158881,13.6466815084,-14.4634848096,8.3452526254,-13.3980908831,-0.88812765933,156.866932432,13.7630422562,-14.7065893323,14.7743875752,-18.9202729588,17.345534292,-18.8363784763,15.3195272851,-12.7327886516,11.2361474437,-9.27334699565,1.617797361,160.262548958,14.6696789217,-18.1005672038,16.9653953217,-16.7846099094,16.8379232959,-17.3913924674,14.3830483237,-10.0511149307,14.0979626073,-8.05210415417,5.23611658103,157.062621523,14.8607296851,-15.64204906,17.0308699581,-15.3602959549,16.2648099582,-19.5511959319,12.3186125567,-11.4554921486,11.6201908627,-7.7821165255,1.59544732806,154.104092756,14.0113632142,-17.3665386013,17.6166269428,-12.9295905424,17.1077391132,-16.0944616824,11.2456284381,-11.0228830154,9.02076314488,-11.1093216495,-2.99300111003,132.23926089,9.00743823852,-14.4295028764,11.0275129886,-10.4374213869,11.406173296,-13.9842697918,8.17989079073,-10.3551113503,3.57227834829,-11.6561880104,-5.97288342898
"13",0.0212765957447,0.31914893617,0.148936170213,0.404255319149,0.382978723404,0.148936170213,0.0212765957447,0.234042553191,0.255319148936,125.405672002,26.8631368975,-8.94176811409,0.236142671587,0.0655480717807,-0.0876280365633,-6.95540305846,3.72725512744,-2.68419043193,-7.63504118237,-5.1726277006,0.369144431901,130.868551805,28.4100431615,-14.9565728688,-0.163246515101,-1.34201782006,-2.93953169914,-4.55857160872,-4.10795503258,-11.214828558,-0.34125601572,-2.3504284135,-9.90849249403,132.151754284,29.143804691,-15.3624922926,2.53080817407,1.86897541299,-2.24222885048,-2.28679173201,1.34847762085,-5.9910682043,-2.72860088272,-2.16970729156,-5.32955626976,133.920779583,31.1429071501,-15.3099300226,0.821038965156,-0.25932390885,-2.30039515707,-2.38073815595,-5.24277695132,-9.2583268878,0.579415167114,-0.525623303711,-7.11046782073,131.777779631,30.7966799907,-13.1822163333,1.12104112473,1.14248284461,-0.845900948184,-2.13500204113,1.99352148794,-3.1645939111,-1.62729320335,-1.9668141591,-3.38105050537,116.002030091,25.8762026119,0.586138561583,-6.04119886613,-1.21448550078,4.00699813998,-5.24979636888,5.36937008405,-4.9311545099,-7.60960439278,-6.98563319916,3.68598743943,130.242032558,29.121252105,-13.3028284536,2.11830804346,1.45859934848,-3.21477352247,-5.06558441454,-0.926459306252,-8.47034182489,-2.31761872448,-2.9648552868,-6.61895491639,137.601316307,29.9400390314,-18.2940669787,5.89530395597,-1.54449450647,-0.951738580145,1.01037870187,-2.28078364376,-4.21595393914,-5.18223433564,-3.51196352152,-4.37374107901,137.239384191,30.2416773435,-19.1744089971,4.287092388,-0.193672475602,-3.09227858085,-0.823525049031,-4.91078315729,-3.86045071591,0.536424711092,-7.91037301799,-6.03997824396,115.449760555,24.0993260501,0.829955402855,-5.20902529234,-3.30110948432,4.38360927182,-4.92863155857,3.06109737537,-4.1543615598,-3.86799598949,-6.71318280314,0.48668670127,112.026223665,24.3434100585,5.20476504959,-6.46984750873,-4.20524769947,4.65265934532,-3.11139252139,3.80052609165,-5.78918552661,-2.47024786888,-6.14329597699,-0.288477413899,121.378136102,27.4747787837,-5.65855358769,-6.84098551556,0.760959976103,1.07205274066,-6.97554253538,3.60450725697,-7.83846274945,-4.56946065871,-3.85905719973,-4.02724349087
"15",0.0681818181818,0.340909090909,0.295454545455,0.454545454545,0.363636363636,0.0227272727273,0.0227272727273,0.0909090909091,0.454545454545,156.305200231,12.8949946337,-14.0571933551,9.61673386841,-16.0764750689,7.8202812999,-21.1694525559,4.09591262396,-16.2045404129,9.16709842768,-12.910065238,2.22745154684,155.970043037,11.4017538165,-14.9007451595,11.2691977777,-15.4481420903,5.11058314386,-23.9125603216,1.36991947551,-17.2133542647,9.75010547717,-8.91929461418,8.29826468421,150.621511336,10.5609363992,-11.8943553485,12.4772434676,-12.6743008177,9.7766325408,-17.0892981011,7.54951738058,-14.2935426438,7.24955775421,-14.828424387,2.48248085109,155.529786884,12.6123670967,-15.9057725839,10.8098305672,-12.2307144229,8.6412770636,-17.4644521406,7.08716587993,-15.1563274855,6.46140309458,-14.4956044556,4.68173588786,152.401051396,11.7582208464,-13.1700142233,10.1660747858,-15.7792580679,8.11592069271,-17.5938380978,5.57437895503,-13.9123019164,7.33021269236,-14.9091921682,4.73781619821,149.337020478,10.7922431017,-11.9363916822,10.7978527741,-15.2090919713,8.96612733734,-15.8154778181,6.67793889476,-15.0619661161,7.02661172942,-11.9084219314,5.05249303434,158.568893844,10.7206400357,-17.635026885,10.8201903661,-15.8696537263,3.10021074624,-20.7843842781,11.3949573858,-12.6761104866,11.9185578293,-9.37654048054,9.17581128149,156.258758315,9.69842130441,-17.8004960883,11.2390680329,-15.2036449803,7.77496155032,-20.7077863245,4.82988211474,-15.84788656,10.5398883144,-9.73026935754,12.0340024452,150.958867586,10.8941882374,-12.0872836355,13.2121830449,-11.2896813929,9.40324295577,-19.1076141655,8.04615293584,-13.488394573,4.63006144102,-15.6928575675,6.41151115589,160.521751991,11.2336757409,-18.8730271257,10.5051221735,-14.4676327968,7.48480742909,-20.9839652133,7.10911430179,-17.0303755121,8.97124021314,-14.1541351534,8.00153899082,160.767056656,11.5317849425,-18.3317412593,10.6697889949,-13.4998905198,7.80020336051,-20.6953737046,8.56631607624,-17.8045636812,6.10111601538,-13.7145598595,7.02293356715,149.563961064,10.9908793257,-11.1499503737,11.8899580996,-12.5178370034,11.3633338033,-16.4175323611,7.36496487285,-12.7163770498,8.47897206267,-11.8513780773,6.52097938083
"21",0.155555555556,0.222222222222,0.4,0.266666666667,0.622222222222,0.0222222222222,0.2,0.0444444444444,0.0888888888889,152.752703732,17.0199804154,-19.8135980509,7.65939269905,-19.0443511805,9.36445632726,-16.2180462333,11.4400985549,-10.6399093049,1.8765663165,-19.4916421483,-9.86953669843,149.20509406,14.4757681259,-13.7278472769,11.8329021539,-19.0749912874,10.6868791296,-16.2080039403,11.7703768125,-7.88334083713,11.7498840852,-6.67716162218,-4.52494111306,151.701774579,15.8873540637,-15.5746525741,10.4566156205,-16.2054648103,10.6578932635,-17.6236956919,12.3043627069,-8.82632195747,6.49720650408,-11.7486954404,-4.05931387447,153.232431413,17.9950418053,-17.903569717,9.64040111508,-16.6920717171,9.91350273068,-12.6080165552,14.3122399848,-12.0141587448,5.11841813334,-2.31210829866,7.87715404182,148.637175626,15.4209387204,-12.8278069668,11.9819891145,-18.0176719075,11.8892781534,-13.6343422404,16.3154376353,-4.31613985766,11.8771981685,-9.66517346158,-3.86520165647,152.547967031,17.3729064673,-18.5813201741,6.71307788817,-18.1474431294,11.4689838478,-15.6287766447,13.8284776254,-6.63370231066,7.94601178171,-14.3353210205,-5.91230469446,149.906060935,16.6339153793,-15.8094173619,7.68536574607,-20.2576350426,10.737926533,-14.0504181458,13.6924710004,-8.38777876318,3.58624196309,-16.6402663945,-5.47142180793,154.142814848,19.1083538355,-18.0307820697,6.69157621941,-16.4822894119,11.9258230277,-12.7707372798,15.5608078024,-7.12780928279,5.22979736092,-13.656667196,-1.85133308919,151.348601691,18.0150149056,-20.0081468158,10.3236232318,-10.1111172127,10.4455721101,-15.8561205572,8.06918858316,-12.3247965207,8.82454675981,3.4516136257,10.1162519451,150.223465116,15.7014997784,-12.731513155,12.2014308778,-19.7394281689,11.500866472,-13.5709994183,16.9417997369,-6.91897643389,10.1536856784,-9.00821813875,-0.638719769426,146.531393247,14.3259254372,-12.9017710851,11.9388037187,-20.1335121068,9.1780979502,-14.3230686487,13.2590105277,-9.95012058824,5.84976702982,-9.81024466598,-2.21312792139,152.422881236,16.9386055351,-20.671306691,6.05406164297,-18.1681784492,9.26115095017,-18.5471907484,9.28039897958,-9.623079243,2.8353255586,-19.4455574443,-9.3143385199
"25",0.195652173913,0.45652173913,0.152173913043,0.260869565217,0.260869565217,0.0434782608696,0.239130434783,0.217391304348,0.152173913043,166.852980685,9.20009274284,-17.4146981385,22.6664993321,-19.9397745242,23.2054988577,-19.6702742138,20.5008485242,-19.5037845402,8.33345418857,-13.6416295448,3.89050385777,166.592805446,8.62692479329,-16.2720636556,21.6636885731,-21.7963454389,21.8528394501,-24.3423616634,14.9241117015,-25.3681526738,7.2571237368,-14.0257048177,5.86278062401,163.897603971,8.84914270748,-16.4442017972,20.469231589,-21.0500630865,20.1816733364,-23.9382786963,14.4167895913,-22.0331453129,7.67683939837,-12.9153852775,6.6791887153,164.242581544,8.90958897258,-15.939322075,19.3309851386,-21.9549667978,21.6131919033,-20.8532743539,17.0789755157,-22.962197109,7.11813408139,-13.3282523176,6.30861863622,162.41088377,9.38989310538,-15.2131344242,19.2063505256,-22.5655236423,17.9662786108,-24.4190040623,12.7445619829,-24.404970397,3.85251811252,-15.5796249035,4.03560061373,165.333001393,8.1098040856,-17.2109776759,21.2739256405,-20.9843389223,22.2008825725,-22.3766163851,18.5062503087,-21.645980119,7.12141034945,-13.4901186712,7.01030897439,154.111825025,8.02960304439,-14.6577683701,19.0992656959,-19.7645491085,19.9594150532,-20.0879078791,13.9099476536,-19.0968381237,3.20983262404,-14.4044871247,1.88960478025,164.758153975,9.03301088286,-15.5722840975,22.5765061907,-20.4733803068,21.3651896822,-22.7935079816,17.3639420305,-21.6724670775,7.45400147099,-13.6297442795,5.88022117405,165.587709626,9.44349536437,-16.7999760928,20.6684913355,-22.1267361674,21.3253514282,-21.903090454,17.0452171177,-21.5521606961,7.62966078095,-14.0521952053,4.54325250473,166.445024052,9.37602947272,-16.0462754551,20.8892192697,-23.2143427158,20.2723905889,-23.9996580759,16.9171530266,-21.4490796145,7.82547688863,-14.0688664433,4.29459014672,165.865110108,10.259588201,-16.1016937675,19.54048905,-22.0445123693,20.2245000686,-24.2741965364,15.0909827288,-23.3609991379,6.73735261673,-14.365402197,8.75772335524,161.844961576,8.95402590791,-15.9617085884,19.8970441241,-21.8171848529,20.7863034103,-21.77766773,15.8200778903,-19.381994327,7.52125887734,-14.168090397,3.37505132862
"31",0.0851063829787,0.191489361702,0.276595744681,0.510638297872,0.489361702128,0.0425531914894,0.0212765957447,0.0851063829787,0.255319148936,146.560046098,13.4367429681,-2.63537796027,8.79245201667,-20.6067593487,9.50418348063,-18.2855944473,9.39661241527,-5.60772089875,6.94132920589,-12.5873650889,2.12656955416,151.505728503,12.8106688264,-5.29397638839,9.06119358961,-23.5422573948,12.4708395589,-16.3448127639,10.4447141354,-8.37951120059,-0.787103569364,-18.1068573074,8.5449682476,150.815974508,12.2251297467,-8.0369760807,6.1358165643,-21.1778270379,15.2555988054,-16.3011343762,7.83721251321,-5.6273107515,4.69067048424,-20.5764989169,9.50360539363,151.425558034,12.3586429007,-14.0954742458,-0.807797195709,-25.8355929633,10.3787071423,-16.0238218146,6.06106040225,-14.9277896318,-4.68029289643,-15.3145011799,7.34507596703,147.726592349,12.7366382191,-10.5716306684,2.53170350045,-21.7646893518,7.99173141876,-18.4963156549,6.23572884556,-11.082917542,-0.41338683196,-17.9206835118,3.51522614363,145.068039159,11.294204755,-4.35775836614,12.2293943575,-16.1401381706,12.1430937985,-22.9958555363,4.49593142435,-3.52660410654,4.41858287572,-18.8292149227,1.75787452444,149.900418252,15.899646742,-7.36647005687,-0.63730345829,-19.9910867568,10.7741295476,-25.0134592429,10.1915169708,-5.77224447127,-2.21794446427,-18.7243131237,0.258617894907,148.787656155,15.6595936013,-8.4655985292,2.22953559172,-21.0064931427,4.65775102926,-24.2144520063,7.97793564369,-9.0619937254,-0.782338782777,-21.4815587352,-4.249251681,147.142980562,15.2664714666,-5.36209742464,7.71949554506,-19.4024172454,6.94377634559,-17.1000551453,9.54271108359,-8.78662306014,0.240575847039,-19.3570579582,0.199167649127,152.518888478,14.0402491854,-11.3372783496,-0.16769396988,-21.1253604786,6.32916904488,-26.3801967385,7.09132106081,-18.136426218,-8.05828617034,-20.2798308731,1.89448353205,149.141464616,16.9509801567,-8.80106634128,-2.33374486675,-22.660975404,6.48640193088,-20.8390374963,11.4345959587,-9.79288788635,-7.82179088184,-18.1149221864,1.87895200944,144.412148756,13.2603339038,-0.646206956034,8.28825748231,-14.2447069836,14.5212109356,-23.7917195045,12.4408445251,-0.024615888298,0.244680127855,-12.3582603712,7.77029763508
"32",0.0681818181818,0.227272727273,0.204545454545,0.363636363636,0.431818181818,0.0227272727273,0.113636363636,0.0454545454545,0.295454545455,127.772269791,13.9725764618,0.196991341848,6.79815285945,-10.8921341415,7.75955841894,-6.17864531298,8.34400506554,-11.5276258429,3.45670482494,-8.739288574,3.00619751307,153.528949609,7.87388982541,-18.3711126724,11.8134843473,-11.0861776295,9.85645865565,-9.30383090117,7.39265491877,-26.5859635892,6.03111881391,-15.8759242242,3.17684984899,152.695475271,9.91707194944,-16.1293764093,11.2456033435,-12.8299920756,10.2008174937,-15.7110603471,3.06142821757,-18.9412405036,9.19789751998,-15.9205467367,-1.86389302975,152.515641316,4.98579247505,-18.1057909062,11.0114955305,-10.5824659171,6.95727244434,-14.7702290154,2.68756703817,-21.0058736877,6.09985138838,-17.7633569181,3.97422311238,153.52594837,8.90826724221,-14.5346140121,13.4216896044,-10.0935744612,12.0046039046,-15.6580466981,9.42675104599,-17.3145491147,9.81802819475,-13.2385876981,3.45439833256,155.469094765,4.84392762294,-18.5290107931,12.5683434525,-16.3911188146,5.9964975417,-22.7396293156,0.837942520735,-17.8024185425,15.574852179,-7.50458390376,20.0681321373,148.922017834,8.85774463374,-16.5997053999,10.6743800681,-12.4845752753,10.2883755313,-14.3959245901,2.68410929246,-18.2377680652,7.58142990508,-11.5704135015,3.69128860757,133.316757171,13.1237356173,-8.05735787467,10.1001280232,-5.75884763038,9.02390890122,-10.2903049226,4.31049995392,-9.31229260408,4.98187546318,-10.0467592591,-2.98187791304,160.56586668,5.96836857084,-20.5614928273,13.0293758192,-16.4025875531,5.59223175276,-15.3111328933,4.38438599324,-20.6588699322,16.5491273423,-5.76871923699,17.673720014,158.68021509,11.3327944249,-17.141211593,9.80688942003,-15.7221395854,6.95520959863,-18.6207290248,2.95514451486,-22.2863782228,5.5071452438,-14.4762861467,9.31043308355,160.458293652,6.13691841852,-20.1796581073,12.2369836464,-16.1022914507,6.63730093298,-18.8050583829,4.83151651059,-18.2910827453,16.4457710079,-4.00965572905,21.7276090519,157.509833957,9.88872257896,-18.1149215482,11.314619913,-12.5534963376,10.5840094628,-14.5634684726,6.08119783967,-20.3745401781,7.86200006876,-14.376567654,2.24123406934
"34",0.24,0.12,0.12,0.12,0.28,0.04,0.64,0.08,0.04,150.02929322,14.4664529642,-5.18085321948,10.2076999066,-11.9355825367,13.311422887,-15.1392561942,6.49041176149,-19.9383362144,3.60829294674,-12.9194834864,8.01319103004,150.232221936,13.1968591767,-5.98708772806,10.3451371692,-11.7697488326,11.3586877355,-15.5039572093,6.34438934833,-21.5223984286,7.85949855861,-14.7952179197,6.64607939292,149.674958395,12.2010643525,-6.64930627054,11.5240898884,-11.7202202375,12.3212560697,-14.1871236345,7.62818154547,-17.8439619629,8.37087657927,-17.0511375399,5.38513406297,148.882522097,12.7685159684,-5.18668729284,11.8731416722,-11.5965043816,11.8779048708,-12.7764734486,8.19038842451,-22.3810352081,6.87705326828,-16.7713399017,3.1450212224,152.37890768,12.9225850354,-3.86427134423,8.00794111952,-8.20740841015,11.8719812217,-12.1908943069,8.20274508783,-20.0738054054,5.69277017146,-13.3862566882,6.16373846291,150.48875849,14.4875178793,-5.23681047513,10.042716296,-13.2654528091,12.169877753,-14.0786625516,10.908743526,-18.9099412505,6.91626605297,-14.7131858565,3.43032464273,156.29098745,10.949458935,-7.26544560051,9.24722480563,-14.5415021667,12.6410658805,-14.6988659673,13.1463185323,-14.5774600958,10.2187278771,-12.5533972283,6.74921023714,148.687368756,15.2773696287,-4.72718743303,9.40527122003,-12.0874979007,11.2698274196,-12.1564655162,9.16551916511,-17.4709253207,6.44664577188,-13.831118626,5.81604975633,149.846825421,13.688347066,-4.01091391627,9.72214663056,-9.16814580402,11.0146033479,-6.45229074833,8.22670904082,-16.4728822225,7.56235640692,-11.774075079,3.2431796403,154.384635109,11.9866100377,-7.22371314798,5.51985368194,-14.3816226188,11.0001579237,-14.6012384219,8.76338758036,-20.2953854196,7.44832988474,-17.1563125286,2.69442404079,152.353692713,14.6707376993,-8.6301561836,7.09286070257,-12.3800593303,11.9913727076,-14.1078749356,9.69792050502,-15.5132533619,11.3047790769,-15.7574913629,2.55726602052,148.071216729,14.2495193086,-7.49410296639,9.19516034488,-12.3093116431,10.158549895,-9.32933743717,10.7068803396,-14.6073263454,7.95817341425,-15.5650314175,4.96691053278
